Month,Level as of 1st,Change in Lake Level ft,Precipitation(Inches),Precipitation (ft),Evaporation (Mass Balance)
1/1/2014,4193.90,0.18,1.20,0.10,-0.08
2/1/2014,4194.08,0.23,1.57,0.13,-0.10
3/1/2014,4194.31,0.16,1.11,0.09,-0.07
4/1/2014,4194.47,0.03,1.55,0.13,0.10
5/1/2014,4194.50,-0.26,1.04,0.09,0.35
6/1/2014,4194.24,-0.44,1.20,0.10,0.54
7/1/2014,4193.80,-0.31,0.50,0.04,0.35
8/1/2014,4193.49,-0.48,1.77,0.15,0.63
9/1/2014,4193.01,-0.02,2.51,0.21,0.23
10/1/2014,4192.99,-0.44,0.01,0.00,0.44
11/1/2014,4192.55,-0.06,0.60,0.05,0.11
12/1/2014,4192.49,0.09,1.40,0.12,0.03
1/1/2015,4192.58,-0.02,0.86,0.07,0.09
2/1/2015,4192.56,0.00,0.31,0.03,0.03
3/1/2015,4192.56,-0.02,0.71,0.06,0.08
4/1/2015,4192.54,-0.23,2.32,0.19,0.42
5/1/2015,4192.31,0.15,4.19,0.35,0.20
6/1/2015,4192.46,-0.34,0.65,0.05,0.39
7/1/2015,4192.12,-0.50,1.22,0.10,0.60
8/1/2015,4191.62,-0.48,0.89,0.07,0.55
9/1/2015,4191.14,-0.18,1.74,0.15,0.33
10/1/2015,4190.96,-0.21,0.61,0.05,0.26
11/1/2015,4190.75,-0.13,0.41,0.03,0.16
12/1/2015,4190.62,0.07,2.23,0.19,0.12
1/1/2016,4190.69,0.44,1.94,0.16,-0.28
2/1/2016,4191.13,-0.30,0.52,0.04,0.34
3/1/2016,4190.83,0.11,2.22,0.19,0.08
4/1/2016,4190.94,-0.22,1.39,0.12,0.34
5/1/2016,4190.72,0.05,1.58,0.13,0.08
6/1/2016,4190.77,-0.34,0.52,0.04,0.38
7/1/2016,4190.43,-0.62,0.00,0.00,0.62
8/1/2016,4189.81,-0.71,0.15,0.01,0.72
9/1/2016,4189.10,0.05,1.88,0.16,0.11
10/1/2016,4189.15,0.15,0.90,0.08,-0.08
11/1/2016,4189.30,-0.10,1.76,0.15,0.25
12/1/2016,4189.20,0.00,1.98,0.17,0.17
